VehicleID,Maker,Model,Year,Colour,Distance,Abuja,Ibadan,Lagos,Brand New,Foreign Used,Nigerian Used,Scaled_Distance,Log_Distance,box_cos_distance,Amount (Million Naira)
VHL12546,17,142,2011,18,94903.33950617284,1,0,0,0,0,1,-0.07180236836992994,11.46061417371726,0.12786027506105396,2.2
VHL18827,19,1204,2012,18,125000.0,0,1,0,0,0,1,0.26044972058080057,11.736069016284437,0.5295913450303462,3.5
VHL19499,29,1040,2010,17,110852.0,0,0,1,0,1,0,0.10426287202864803,11.615951257281335,0.34912965230302034,9.2
VHL17991,34,590,2017,3,30000.0,1,0,0,0,1,0,-0.7883027965562145,10.308952660644293,-1.1562894510190402,22.8
VHL12170,53,659,2002,17,125206.0,0,1,0,0,0,1,0.2627238576179608,11.737715659822532,0.5321239952255981,2.6
VHL19996,53,1315,2011,2,94903.33950617284,0,0,1,0,1,0,-0.07180236836992994,11.46061417371726,0.12786027506105396,7.5
VHL16314,29,777,2019,2,25227.95348837209,0,0,1,0,1,0,-0.8409838048821585,10.135707924130823,-1.3045595246172752,79.0
VHL14299,53,186,2015,8,67361.31967213115,1,0,0,0,1,0,-0.3758525012961279,11.117826240056415,-0.3157960856466982,9.0
VHL15637,53,1165,2012,3,350882.0,0,0,1,0,1,0,2.7540741003275713,12.76820526358987,2.4804841221910237,7.76
VHL15752,34,249,2004,2,179638.0,0,1,0,0,1,0,0.8636259314369292,12.09869899376183,1.1282019684022064,2.5
VHL10459,0,1027,2012,22,75858.0,0,0,1,0,1,0,-0.28205339728390677,11.236618450539952,-0.16866750288713678,7.2
VHL15950,53,204,2003,18,111289.0,0,0,1,0,1,0,0.1090871336074783,11.619885700393809,0.35490867307442403,3.26
VHL13916,53,407,2008,2,126075.0,0,0,1,0,0,1,0.2723171832747194,11.744632246944926,0.5427798309161042,1.91
VHL10209,53,1316,2010,22,108974.3137254902,0,0,1,0,1,0,0.08353415406248191,11.598867479545953,0.3241383659865773,6.95
VHL15431,53,713,2018,2,16000.0,1,0,0,0,1,0,-0.9428557990816694,9.680344001221918,-1.6500091916912982,17.0
VHL14203,29,481,2008,3,121487.4181459566,0,0,1,0,0,1,0.2216725725694551,11.70756598204635,0.48600663384708825,3.55
VHL16065,53,1255,2017,9,52352.0,1,0,0,0,1,0,-0.5415478885241455,10.865745419962419,-0.6064679816127484,22.0
VHL16048,53,698,2020,22,7523.0,1,0,0,1,0,0,-1.0364376421108323,8.925720273560222,-2.103963507722805,23.0
