Maker,Year,Colour,Abuja,Ibadan,Lagos,Brand New,Foreign Used,Nigerian Used,Amount
17,2011,18,1,0,0,0,0,1,2.2
19,2012,18,0,1,0,0,0,1,3.5
29,2010,17,0,0,1,0,1,0,9.2
34,2017,3,1,0,0,0,1,0,22.8
53,2002,17,0,1,0,0,0,1,2.6
53,2011,2,0,0,1,0,1,0,7.5
29,2019,2,0,0,1,0,1,0,79.0
53,2015,8,1,0,0,0,1,0,9.0
53,2012,3,0,0,1,0,1,0,7.76
34,2004,2,0,1,0,0,1,0,2.5
0,2012,22,0,0,1,0,1,0,7.2
53,2003,18,0,0,1,0,1,0,3.26
53,2008,2,0,0,1,0,0,1,1.91
53,2010,22,0,0,1,0,1,0,6.95
53,2018,2,1,0,0,0,1,0,17.0
29,2008,3,0,0,1,0,0,1,3.55
53,2017,9,1,0,0,0,1,0,22.0
53,2020,22,1,0,0,1,0,0,23.0
29,2015,2,0,0,1,0,1,0,14.0
53,2011,9,0,0,1,0,1,0,4.9
11,2006,17,0,0,1,0,1,0,2.48
37,2020,9,1,0,0,0,1,0,16.0
34,2006,18,0,0,1,0,1,0,4.6
53,2016,9,0,1,0,0,1,0,15.0
34,2014,18,1,0,0,0,1,0,11.85
17,2007,2,1,0,0,0,1,0,4.1
25,2014,5,1,0,0,0,1,0,4.5
29,2007,9,0,0,1,0,1,0,4.2
53,2010,10,1,0,0,0,1,0,9.0
53,2010,10,1,0,0,0,1,0,7.8
53,2009,2,0,0,1,0,0,1,5.9
53,2014,9,1,0,0,0,0,1,4.0
53,2007,10,0,1,0,0,1,0,4.0
53,2003,18,0,1,0,0,1,0,2.4
34,2014,22,0,0,1,0,1,0,17.0
3,2006,9,1,0,0,0,1,0,3.0
53,2005,2,1,0,0,0,0,1,3.2
53,2009,9,1,0,0,0,0,1,2.66
53,2021,22,1,0,0,1,0,0,23.0
53,2019,2,1,0,0,0,1,0,115.0
17,2016,9,1,0,0,0,1,0,7.8
55,2005,9,1,0,0,0,1,0,3.3
29,2010,22,0,1,0,0,1,0,5.5
53,2013,17,1,0,0,0,0,1,3.85
53,2007,18,1,0,0,0,0,1,2.3
34,2008,18,1,0,0,0,0,1,3.5
29,2017,22,1,0,0,0,1,0,58.9
29,2019,22,0,0,1,0,1,0,22.0
34,2004,18,1,0,0,0,1,0,2.8
29,2011,18,0,0,1,0,1,0,6.5
53,2013,9,0,0,1,0,1,0,8.25
34,2010,8,0,0,1,0,1,0,6.8
37,2010,21,0,0,1,0,1,0,2.08
14,2005,18,0,0,1,0,0,1,1.46
53,2008,18,0,0,1,0,1,0,3.6
53,2010,22,1,0,0,0,1,0,6.85
53,2009,9,0,0,1,0,1,0,3.75
34,2013,2,1,0,0,0,1,0,10.0
29,2010,2,1,0,0,0,0,1,6.5
29,2004,3,1,0,0,0,0,1,4.5
