VehicleID,Amount (Million Naira)
VHL18518,7.1069727
VHL17149,7.4077454
VHL10927,5.1297903
VHL12909,5.399529
VHL12348,9.219195
VHL10798,28.801298
VHL11022,5.0312853
VHL12206,7.210981
VHL11697,12.079352
VHL12313,7.4110255
VHL13411,31.026396
VHL14334,4.779973
VHL14302,7.4077454
VHL13979,5.1895123
VHL12272,2.0297623
VHL15071,8.096342
VHL19166,6.056953
VHL10471,2.8701413
VHL18431,1.2147624
VHL12325,8.879367
VHL15657,5.7751913
VHL13667,23.292515
VHL18913,6.4333167
VHL13273,9.677939
VHL16576,0.0008485615
VHL15506,4.764161
VHL10460,69.39151
VHL16050,3.314859
VHL17918,5.0530915
VHL12992,7.5093975
VHL10261,10.361809
VHL18348,8.004334
VHL11577,7.214261
VHL16957,3.4080012
VHL16165,17.908457
VHL11441,5.488985
VHL19990,3.9486237
VHL14072,5.62945
VHL13637,3.855719
VHL10757,14.772993
VHL12657,11.025661
VHL19939,15.926626
VHL12094,11.50989
VHL17177,4.1701636
VHL16720,16.466805
VHL11478,33.63963
VHL14386,11.50989
VHL11341,10.707338
VHL18683,13.312605
VHL13430,24.314598
VHL18932,2.6661568
VHL17505,8.169039
VHL16272,5.401243
VHL14777,6.142582
VHL13186,9.932646
VHL19383,2.0297623
VHL14605,10.164465
VHL11440,17.581097
VHL14303,13.25982
VHL19478,7.0601845
VHL17837,5.62945
VHL12824,3.1577878
VHL17476,5.544824
VHL18988,2.0297623
VHL19482,7.5093975
VHL13263,3.885632
VHL17078,6.5092816
VHL19170,5.5277267
VHL18070,4.974844
VHL18061,16.366253
VHL10726,3.4439373
VHL19212,3.5275657
VHL13283,3.945343
VHL14023,12.025668
VHL16973,44.82686
VHL19653,19.222027
VHL18605,13.652084
VHL13287,10.592289
VHL15719,3.7936769
VHL19636,7.9244313
VHL11009,10.045133
VHL18087,1.9204819
VHL14422,4.6916904
VHL15789,26.208351
VHL12369,5.50991
VHL15812,6.178885
VHL18767,223.04938
VHL19271,22.003918
VHL17403,5.186232
VHL12967,3.888912
VHL19998,9.907052
VHL12336,4.1009235
VHL10328,3.5530777
VHL18908,5.0312853
VHL11127,7.7039165
VHL12655,20.533268
VHL19086,116.74364
VHL10384,14.367748
VHL15712,13.788574
VHL11054,31.026396
VHL16505,8.828229
VHL10534,2.6529877
VHL14120,3.2624066
VHL10206,7.210981
VHL13595,11.6708975
VHL15887,7.3816814
VHL12672,5.50663
VHL19770,5.91715
VHL13026,11.483722
VHL12635,9.62682
VHL14014,5.712221
VHL19238,6.178885
VHL18156,4.9877753
VHL13087,7.4077454
VHL13743,2.4804683
VHL19323,135.54446
VHL16129,7.210981
VHL17626,7.0596633
VHL14525,2.0414832
VHL15597,182.39159
VHL19429,7.4077454
VHL14074,18.715109
VHL17422,101.04544
VHL11861,28.801298
VHL19828,33.858498
VHL14000,3.7551293
VHL12312,6.4332833
VHL16257,4.930378
VHL14859,8.822454
VHL16048,3.2624066
VHL14039,1.3383594
VHL10296,4.974844
VHL14949,2.0297623
VHL17034,39.409485
VHL17149,16.217
VHL19677,9.62682
VHL14433,5.541544
VHL16582,6.3800583
VHL10059,10.53327
VHL17140,11.483722
VHL10364,6.4332833
VHL16932,5.541544
VHL18587,5.282854
VHL13635,2.842934
VHL18371,36.23659
VHL19622,14.195543
VHL18669,19.806234
VHL17359,3.855719
VHL19788,11.078378
VHL19078,15.694229
VHL12673,3.314859
VHL17895,2.9978807
VHL18950,23.720339
VHL13562,44.88248
VHL11306,21.110386
VHL15496,5.6772904
