VehicleID,Amount (Million Naira)
VHL18518,4.6287584
VHL17149,6.343358
VHL10927,4.147093
VHL12909,4.428071
VHL12348,7.8794956
VHL10798,28.72264
VHL11022,3.3133183
VHL12206,6.006707
VHL11697,10.310999
VHL12313,6.836625
VHL13411,22.031221
VHL14334,3.6087751
VHL14302,6.3008604
VHL13979,4.432402
VHL12272,1.1430585
VHL15071,7.345986
VHL19166,5.680553
VHL10471,2.3219738
VHL18431,1.8017744
VHL12325,8.565072
VHL15657,3.7586505
VHL13667,22.518335
VHL18913,3.9990456
VHL13273,8.659971
VHL16576,0.32211536
VHL15506,3.4502184
VHL10460,47.27123
VHL16050,2.0228043
VHL17918,5.394684
VHL12992,6.662185
VHL10261,9.95051
VHL18348,7.5836773
VHL11577,6.534171
VHL16957,1.231334
VHL16165,12.859941
VHL11441,5.6425114
VHL19990,3.121823
VHL14072,4.519128
VHL13637,2.0939176
VHL10757,14.605276
VHL12657,11.781901
VHL19939,15.927318
VHL12094,10.897717
VHL17177,3.4179592
VHL16720,16.225395
VHL11478,34.144814
VHL14386,10.897717
VHL11341,10.118072
VHL18683,12.598085
VHL13430,28.457628
VHL18932,0.91177905
VHL17505,7.514786
VHL16272,3.780111
VHL14777,6.0292206
VHL13186,9.206815
VHL19383,1.2851499
VHL14605,9.684289
VHL11440,17.038483
VHL14303,13.018303
VHL19478,6.3001976
VHL17837,5.0567923
VHL12824,2.928735
VHL17476,4.8088417
VHL18988,1.1430585
VHL19482,6.904368
VHL13263,2.5466032
VHL17078,7.7521706
VHL19170,3.6029942
VHL18070,3.8036597
VHL18061,11.313763
VHL10726,3.6305592
VHL19212,3.0594566
VHL13283,2.586058
VHL14023,11.291948
VHL16973,43.673084
VHL19653,17.59005
VHL18605,13.018303
VHL13287,9.7747345
VHL15719,2.778389
VHL19636,7.2915297
VHL11009,10.049587
VHL18087,1.3883547
VHL14422,4.356762
VHL15789,27.652672
VHL12369,4.6527047
VHL15812,5.2647963
VHL18767,218.56294
VHL19271,21.425766
VHL17403,3.6567526
VHL12967,3.230204
VHL19998,9.388349
VHL12336,2.864954
VHL10328,2.586058
VHL18908,2.4872518
VHL11127,6.8986034
VHL12655,20.637972
VHL19086,57.316193
VHL10384,12.621331
VHL15712,13.523214
VHL11054,22.0311
VHL16505,6.5677557
VHL10534,1.5357233
